year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
     -950.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -900.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -850.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -800.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -750.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -700.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -650.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -600.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -550.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -500.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -450.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -400.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -350.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -300.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -250.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -200.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -150.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -100.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
      -50.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
        0.00000        2.18057        2.48073        0.00000      271.89361       -7.01931      233.55714        8.38929        7.50000       15.88929       15.88929        5.00000       14.88477        4.88477
       50.00000        2.18056        2.48073       -0.00001      271.24936       -7.03543      233.53976        8.38107        7.49266       15.87373       15.88494        5.00000       14.87285        4.88417
      100.00000        2.18053        2.48073       -0.00003      270.69288       -7.04887      233.53455        8.37401        7.48634       15.86035       15.88364        5.00000       14.86258        4.88309
      150.00000        2.18049        2.48072       -0.00006      270.20931       -7.06009      233.53937        8.36789        7.48088       15.84877       15.88484        5.00000       14.85369        4.88162
      200.00000        2.18045        2.48072       -0.00010      269.78629       -7.06944      233.55243        8.36258        7.47612       15.83870       15.88811        5.00000       14.84595        4.87984
      250.00000        2.18039        2.48071       -0.00014      269.41361       -7.07723      233.57224        8.35792        7.47196       15.82987       15.89306        5.00000       14.83917        4.87781
      300.00000        2.18033        2.48071       -0.00019      269.08279       -7.08372      233.59757        8.35381        7.46828       15.82209       15.89939        5.00000       14.83319        4.87557
      350.00000        2.18027        2.48070       -0.00024      268.78680       -7.08914      233.62741        8.35016        7.46502       15.81518       15.90685        5.00000       14.82787        4.87319
      400.00000        2.18020        2.48069       -0.00029      268.51983       -7.09365      233.66091        8.34689        7.46210       15.80899       15.91523        5.00000       14.82311        4.87069
      450.00000        2.18012        2.48068       -0.00034      268.27702       -7.09741      233.69736        8.34394        7.45946       15.80340       15.92434        5.00000       14.81881        4.86809
      500.00000        2.18005        2.48067       -0.00040      268.05439       -7.10055      233.73620        8.34126        7.45706       15.79832       15.93405        5.00000       14.81489        4.86543
      550.00000        2.17997        2.48066       -0.00046      267.84859       -7.10317      233.77694        8.33879        7.45486       15.79366       15.94423        5.00000       14.81130        4.86272
      600.00000        2.17988        2.48064       -0.00052      267.65688       -7.10536      233.81917        8.33652        7.45282       15.78934       15.95479        5.00000       14.80797        4.85999
      650.00000        2.17980        2.48063       -0.00058      267.47696       -7.10719      233.86257        8.33439        7.45093       15.78532       15.96564        5.00000       14.80487        4.85723
      700.00000        2.17971        2.48061       -0.00065      267.30692       -7.10872      233.90688        8.33240        7.44914       15.78155       15.97672        5.00000       14.80196        4.85447
      750.00000        2.17962        2.48060       -0.00071      267.14521       -7.11000      233.95185        8.33052        7.44746       15.77798       15.98796        5.00000       14.79921        4.85171
      800.00000        2.17953        2.48058       -0.00078      266.99050       -7.11108      233.99730        8.32872        7.44586       15.77458       15.99933        5.00000       14.79659        4.84895
      850.00000        2.17944        2.48056       -0.00084      266.84170       -7.11198      234.04309        8.32701        7.44432       15.77133       16.01077        5.00000       14.79408        4.84621
      900.00000        2.17935        2.48054       -0.00091      266.69792       -7.11275      234.08907        8.32536        7.44285       15.76820       16.02227        5.00000       14.79167        4.84348
      950.00000        2.17926        2.48051       -0.00097      266.55841       -7.11339      234.13516        8.32376        7.44142       15.76518       16.03379        5.00000       14.78934        4.84077
     1000.00000        2.17916        2.48049       -0.00104      266.42254       -7.11394      234.18125        8.32221        7.44003       15.76224       16.04531        5.00000       14.78707        4.83809
     1500.00000        2.17817        2.48019       -0.00169      265.18372       -7.11655      234.63178        8.30822        7.42753       15.73575       16.15795        5.00000       14.76661        4.81266
     2000.00000        2.17711        2.47978       -0.00233      264.05353       -7.11747      235.05019        8.29553        7.41618       15.71171       16.26255        5.00000       14.74801        4.78973
     2500.00000        2.17600        2.47926       -0.00296      262.98402       -7.11810      235.43312        8.28350        7.40543       15.68892       16.35828        5.00000       14.73037        4.76877
     3000.00000        2.17484        2.47866       -0.00357      261.96415       -7.11868      235.78238        8.27200        7.39515       15.66715       16.44560        5.00000       14.71348        4.74932
     3500.00000        2.17363        2.47796       -0.00417      260.98896       -7.11924      236.10038        8.26098        7.38530       15.64628       16.52509        5.00000       14.69727        4.73107
     4000.00000        2.17238        2.47718       -0.00476      260.05470       -7.11979      236.38946        8.25040        7.37584       15.62624       16.59737        5.00000       14.68169        4.71379
     4500.00000        2.17109        2.47634       -0.00534      259.15807       -7.12033      236.65184        8.24022        7.36674       15.60696       16.66296        5.00000       14.66669        4.69732
     5000.00000        2.16977        2.47542       -0.00590      258.29607       -7.12085      236.88955        8.23042        7.35797       15.58839       16.72239        5.00000       14.65222        4.68158
     5500.00000        2.16842        2.47444       -0.00646      257.46597       -7.12137      237.10448        8.22096        7.34951       15.57047       16.77612        5.00000       14.63824        4.66646
     6000.00000        2.16703        2.47341       -0.00700      256.66526       -7.12188      237.29837        8.21181        7.34134       15.55315       16.82459        5.00000       14.62471        4.65191
     6500.00000        2.16562        2.47232       -0.00754      255.89165       -7.12238      237.47283        8.20296        7.33342       15.53638       16.86821        5.00000       14.61161        4.63787
     7000.00000        2.16419        2.47118       -0.00807      255.14305       -7.12287      237.62936        8.19438        7.32575       15.52013       16.90734        5.00000       14.59889        4.62430
