year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
     3000.00000        2.18629        2.48280        0.00357      283.43560       -6.89009      231.32779        8.50469        7.60317       16.10786       15.33195       10.00000       15.05119        5.01658
     3500.00000        2.18749        2.48349        0.00417      284.45532       -6.89032      231.01082        8.51558        7.61291       16.12849       15.25270       10.00000       15.06680        5.03420
     4000.00000        2.18873        2.48426        0.00475      285.43852       -6.89053      230.72286        8.52606        7.62228       16.14834       15.18071       10.00000       15.08179        5.05086
     4500.00000        2.19001        2.48511        0.00532      286.38773       -6.89072      230.46165        8.53616        7.63130       16.16746       15.11541       10.00000       15.09622        5.06672
     5000.00000        2.19133        2.48602        0.00587      287.30533       -6.89089      230.22509        8.54589        7.64000       16.18589       15.05627       10.00000       15.11011        5.08187
     5500.00000        2.19267        2.48700        0.00642      288.19351       -6.89104      230.01125        8.55529        7.64841       16.20370       15.00281       10.00000       15.12352        5.09640
     6000.00000        2.19405        2.48803        0.00695      289.05433       -6.89118      229.81835        8.56438        7.65653       16.22091       14.95459       10.00000       15.13647        5.11038
     6500.00000        2.19545        2.48911        0.00747      289.88972       -6.89130      229.64476        8.57318        7.66440       16.23759       14.91119       10.00000       15.14900        5.12384
     7000.00000        2.19687        2.49024        0.00799      290.70144       -6.89142      229.48896        8.58172        7.67203       16.25375       14.87224       10.00000       15.16114        5.13683
     7500.00000        2.19832        2.49142        0.00849      291.49117       -6.89152      229.34957        8.59001        7.67944       16.26945       14.83739       10.00000       15.17292        5.14939
     8000.00000        2.19978        2.49263        0.00898      292.26045       -6.89161      229.22530        8.59807        7.68665       16.28472       14.80633       10.00000       15.18436        5.16156
     8500.00000        2.20127        2.49388        0.00947      293.01072       -6.89169      229.11498        8.60591        7.69366       16.29957       14.77875       10.00000       15.19548        5.17336
     9000.00000        2.20277        2.49517        0.00994      293.74331       -6.89176      229.01751        8.61356        7.70050       16.31405       14.75438       10.00000       15.20632        5.18482
     9500.00000        2.20428        2.49649        0.01041      294.45948       -6.89183      228.93190        8.62102        7.70717       16.32818       14.73297       10.00000       15.21688        5.19597
    10000.00000        2.20581        2.49783        0.01087      295.16038       -6.89188      228.85720        8.62831        7.71368       16.34199       14.71430       10.00000       15.22720        5.20682
    10500.00000        2.20735        2.49920        0.01133      295.84707       -6.89194      228.79258        8.63544        7.72006       16.35549       14.69815       10.00000       15.23728        5.21740
    11000.00000        2.20890        2.50059        0.01178      296.52056       -6.89198      228.73725        8.64242        7.72630       16.36871       14.68431       10.00000       15.24714        5.22773
    11500.00000        2.21047        2.50201        0.01222      297.18177       -6.89202      228.69047        8.64926        7.73241       16.38167       14.67262       10.00000       15.25680        5.23782
    12000.00000        2.21204        2.50344        0.01265      297.83155       -6.89206      228.65158        8.65597        7.73842       16.39439       14.66290       10.00000       15.26627        5.24769
    12500.00000        2.21361        2.50490        0.01308      298.47071       -6.89209      228.61996        8.66256        7.74431       16.40687       14.65499       10.00000       15.27557        5.25736
    13000.00000        2.21520        2.50636        0.01351      299.09998       -6.89212      228.59504        8.66905        7.75010       16.41915       14.64876       10.00000       15.28470        5.26684
    13500.00000        2.21679        2.50785        0.01392      299.72004       -6.89214      228.57630        8.67542        7.75581       16.43123       14.64408       10.00000       15.29368        5.27614
    14000.00000        2.21839        2.50934        0.01434      300.33153       -6.89216      228.56325        8.68170        7.76142       16.44312       14.64081       10.00000       15.30251        5.28528
    14500.00000        2.21999        2.51085        0.01475      300.93504       -6.89218      228.55544        8.68789        7.76695       16.45484       14.63886       10.00000       15.31121        5.29427
    15000.00000        2.22160        2.51237        0.01515      301.53111       -6.89220      228.55246        8.69399        7.77241       16.46640       14.63811       10.00000       15.31979        5.30311
    15500.00000        2.22321        2.51390        0.01555      302.12025       -6.89221      228.55392        8.70002        7.77779       16.47781       14.63848       10.00000       15.32825        5.31182
    16000.00000        2.22482        2.51544        0.01594      302.70292       -6.89222      228.55949        8.70597        7.78311       16.48908       14.63987       10.00000       15.33660        5.32040
    16500.00000        2.22643        2.51698        0.01634      303.27956       -6.89223      228.56882        8.71185        7.78837       16.50022       14.64221       10.00000       15.34485        5.32886
    17000.00000        2.22805        2.51853        0.01672      303.85057       -6.89224      228.58163        8.71766        7.79357       16.51123       14.64541       10.00000       15.35300        5.33721
    17500.00000        2.22967        2.52009        0.01711      304.41632       -6.89224      228.59763        8.72342        7.79871       16.52213       14.64941       10.00000       15.36106        5.34546
    18000.00000        2.23129        2.52166        0.01749      304.97716       -6.89224      228.61658        8.72911        7.80380       16.53292       14.65414       10.00000       15.36903        5.35362
    18500.00000        2.23291        2.52322        0.01786      305.53339       -6.89225      228.63823        8.73476        7.80885       16.54360       14.65956       10.00000       15.37692        5.36168
