year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
     -950.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -900.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -850.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -800.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -750.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -700.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -650.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -600.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -550.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -500.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -450.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -400.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -350.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -300.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -250.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -200.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -150.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -100.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
      -50.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
        0.00000        2.18057        2.48073        0.00000      271.14361       -7.03872      233.55714        8.38929        7.50000       15.88929       15.88929        2.50000       14.88477        4.88477
       50.00000        2.18054        2.48073       -0.00002      269.85506       -7.07122      233.52232        8.37285        7.48530       15.85815       15.88058        2.50000       14.86089        4.88357
      100.00000        2.18049        2.48072       -0.00007      268.74198       -7.09846      233.51177        8.35868        7.47263       15.83131       15.87794        2.50000       14.84027        4.88141
      150.00000        2.18041        2.48072       -0.00012      267.77458       -7.12127      233.52122        8.34640        7.46166       15.80805       15.88030        2.50000       14.82238        4.87846
      200.00000        2.18032        2.48071       -0.00020      266.92821       -7.14036      233.54708        8.33570        7.45209       15.78779       15.88677        2.50000       14.80678        4.87487
      250.00000        2.18021        2.48070       -0.00028      266.18244       -7.15633      233.58643        8.32632        7.44370       15.77002       15.89661        2.50000       14.79307        4.87078
      300.00000        2.18009        2.48069       -0.00037      265.52037       -7.16969      233.63680        8.31803        7.43630       15.75433       15.90920        2.50000       14.78097        4.86629
      350.00000        2.17996        2.48067       -0.00047      264.92796       -7.18086      233.69617        8.31066        7.42971       15.74038       15.92404        2.50000       14.77019        4.86149
      400.00000        2.17982        2.48065       -0.00058      264.39359       -7.19021      233.76286        8.30406        7.42381       15.72787       15.94071        2.50000       14.76052        4.85644
      450.00000        2.17967        2.48063       -0.00069      263.90761       -7.19804      233.83547        8.29810        7.41848       15.71658       15.95887        2.50000       14.75178        4.85121
      500.00000        2.17952        2.48061       -0.00081      263.46204       -7.20459      233.91284        8.29267        7.41362       15.70629       15.97821        2.50000       14.74382        4.84584
      550.00000        2.17936        2.48059       -0.00093      263.05023       -7.21009      233.99402        8.28768        7.40917       15.69685       15.99851        2.50000       14.73650        4.84037
      600.00000        2.17919        2.48056       -0.00105      262.66668       -7.21470      234.07821        8.28307        7.40504       15.68811       16.01955        2.50000       14.72973        4.83484
      650.00000        2.17903        2.48053       -0.00117      262.30682       -7.21858      234.16475        8.27877        7.40120       15.67996       16.04119        2.50000       14.72342        4.82927
      700.00000        2.17885        2.48050       -0.00130      261.96685       -7.22185      234.25311        8.27473        7.39759       15.67231       16.06328        2.50000       14.71749        4.82368
      750.00000        2.17868        2.48046       -0.00143      261.64364       -7.22460      234.34281        8.27091        7.39417       15.66508       16.08570        2.50000       14.71187        4.81809
      800.00000        2.17850        2.48042       -0.00155      261.33456       -7.22693      234.43350        8.26728        7.39092       15.65820       16.10837        2.50000       14.70653        4.81251
      850.00000        2.17831        2.48038       -0.00168      261.03745       -7.22891      234.52486        8.26380        7.38781       15.65161       16.13121        2.50000       14.70141        4.80696
      900.00000        2.17813        2.48034       -0.00181      260.75049       -7.23060      234.61664        8.26045        7.38482       15.64527       16.15416        2.50000       14.69649        4.80143
      950.00000        2.17794        2.48030       -0.00194      260.47219       -7.23204      234.70862        8.25722        7.38193       15.63915       16.17715        2.50000       14.69173        4.79595
     1000.00000        2.17775        2.48025       -0.00208      260.20129       -7.23328      234.80063        8.25408        7.37912       15.63320       16.20016        2.50000       14.68711        4.79051
     1500.00000        2.17577        2.47965       -0.00338      257.73842       -7.23976      235.70062        8.22577        7.35382       15.57959       16.42516        2.50000       14.64535        4.73890
     2000.00000        2.17365        2.47882       -0.00467      255.50248       -7.24267      236.53714        8.20012        7.33089       15.53101       16.63429        2.50000       14.60741        4.69227
     2500.00000        2.17142        2.47779       -0.00593      253.39544       -7.24497      237.30319        8.17586        7.30919       15.48505       16.82580        2.50000       14.57140        4.64961
     3000.00000        2.16909        2.47657       -0.00716      251.39381       -7.24711      238.00217        8.15268        7.28848       15.44116       17.00054        2.50000       14.53694        4.60999
     3500.00000        2.16666        2.47518       -0.00836      249.48653       -7.24918      238.63879        8.13049        7.26864       15.39913       17.15970        2.50000       14.50384        4.57277
     4000.00000        2.16416        2.47363       -0.00954      247.66521       -7.25119      239.21765        8.10920        7.24960       15.35880       17.30441        2.50000       14.47201        4.53751
     4500.00000        2.16158        2.47193       -0.01070      245.92251       -7.25315      239.74309        8.08873        7.23130       15.32003       17.43577        2.50000       14.44134        4.50391
     5000.00000        2.15892        2.47009       -0.01184      244.25182       -7.25507      240.21914        8.06902        7.21368       15.28270       17.55478        2.50000       14.41173        4.47173
     5500.00000        2.15621        2.46813       -0.01296      242.64717       -7.25695      240.64951        8.05000        7.19668       15.24668       17.66238        2.50000       14.38311        4.44083
     6000.00000        2.15343        2.46606       -0.01407      241.10312       -7.25879      241.03768        8.03162        7.18025       15.21187       17.75942        2.50000       14.35539        4.41105
     6500.00000        2.15060        2.46388       -0.01516      239.61474       -7.26059      241.38686        8.01384        7.16435       15.17819       17.84672        2.50000       14.32851        4.38231
     7000.00000        2.14772        2.46160       -0.01624      238.17755       -7.26237      241.70001        7.99660        7.14894       15.14553       17.92500        2.50000       14.30240        4.35449
