year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
     -950.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -900.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -850.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -800.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -750.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -700.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -650.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -600.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -550.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -500.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -450.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -400.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -350.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -300.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -250.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -200.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -150.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -100.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
      -50.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
        0.00000        2.18057        2.48073        0.00000      274.14361       -6.96170      233.55714        8.38929        7.50000       15.88929       15.88929       12.50000       14.88477        4.88477
       50.00000        2.18060        2.48073        0.00002      275.43199       -6.93022      233.59176        8.40566        7.51464       15.92031       15.89794       12.50000       14.90852        4.88596
      100.00000        2.18066        2.48074        0.00007      276.54453       -6.90432      233.60177        8.41968        7.52718       15.94686       15.90044       12.50000       14.92881        4.88810
      150.00000        2.18073        2.48074        0.00012      277.51097       -6.88298      233.59155        8.43175        7.53797       15.96972       15.89789       12.50000       14.94625        4.89101
      200.00000        2.18082        2.48075        0.00020      278.35603       -6.86540      233.56472        8.44221        7.54732       15.98953       15.89118       12.50000       14.96135        4.89452
      250.00000        2.18093        2.48076        0.00028      279.10024       -6.85090      233.52431        8.45134        7.55547       16.00681       15.88108       12.50000       14.97451        4.89852
      300.00000        2.18105        2.48077        0.00037      279.76062       -6.83893      233.47280        8.45936        7.56264       16.02200       15.86820       12.50000       14.98607        4.90290
      350.00000        2.18118        2.48079        0.00047      280.35133       -6.82906      233.41225        8.46646        7.56900       16.03546       15.85306       12.50000       14.99630        4.90757
      400.00000        2.18132        2.48081        0.00057      280.88410       -6.82092      233.34438        8.47281        7.57467       16.04748       15.83610       12.50000       15.00543        4.91246
      450.00000        2.18147        2.48083        0.00068      281.36868       -6.81421      233.27061        8.47853        7.57978       16.05831       15.81765       12.50000       15.01364        4.91752
      500.00000        2.18163        2.48085        0.00080      281.81313       -6.80868      233.19209        8.48372        7.58442       16.06814       15.79802       12.50000       15.02110        4.92270
      550.00000        2.18179        2.48087        0.00092      282.22417       -6.80413      233.10981        8.48847        7.58867       16.07715       15.77745       12.50000       15.02794        4.92796
      600.00000        2.18195        2.48090        0.00104      282.60734       -6.80038      233.02457        8.49287        7.59260       16.08547       15.75614       12.50000       15.03424        4.93328
      650.00000        2.18212        2.48093        0.00116      282.96725       -6.79730      232.93703        8.49696        7.59626       16.09322       15.73426       12.50000       15.04012        4.93862
      700.00000        2.18229        2.48096        0.00129      283.30774       -6.79478      232.84773        8.50080        7.59970       16.10050       15.71193       12.50000       15.04562        4.94397
      750.00000        2.18247        2.48100        0.00141      283.63196       -6.79271      232.75714        8.50443        7.60294       16.10738       15.68929       12.50000       15.05083        4.94931
      800.00000        2.18265        2.48104        0.00154      283.94254       -6.79102      232.66563        8.50789        7.60603       16.11392       15.66641       12.50000       15.05578        4.95464
      850.00000        2.18283        2.48108        0.00167      284.24167       -6.78965      232.57350        8.51120        7.60899       16.12018       15.64337       12.50000       15.06052        4.95993
      900.00000        2.18302        2.48112        0.00180      284.53115       -6.78854      232.48101        8.51438        7.61183       16.12621       15.62025       12.50000       15.06507        4.96519
      950.00000        2.18320        2.48116        0.00193      284.81247       -6.78765      232.38837        8.51746        7.61458       16.13204       15.59709       12.50000       15.06948        4.97040
     1000.00000        2.18339        2.48121        0.00206      285.08689       -6.78693      232.29576        8.52044        7.61726       16.13770       15.57394       12.50000       15.07376        4.97557
     1500.00000        2.18537        2.48181        0.00337      287.61048       -6.78486      231.39225        8.54752        7.64146       16.18898       15.34806       12.50000       15.11244        5.02434
     2000.00000        2.18747        2.48263        0.00465      289.94649       -6.78572      230.55552        8.57224        7.66356       16.23581       15.13888       12.50000       15.14766        5.06813
     2500.00000        2.18968        2.48365        0.00591      292.18489       -6.78694      229.79133        8.59577        7.68460       16.28037       14.94783       12.50000       15.18110        5.10804
     3000.00000        2.19199        2.48486        0.00713      294.34346       -6.78813      229.09556        8.61834        7.70477       16.32312       14.77389       12.50000       15.21310        5.14500
     3500.00000        2.19439        2.48624        0.00833      296.42887       -6.78925      228.46299        8.64004        7.72417       16.36420       14.61575       12.50000       15.24378        5.17966
     4000.00000        2.19686        2.48779        0.00949      298.44594       -6.79028      227.88862        8.66092        7.74284       16.40375       14.47216       12.50000       15.27325        5.21242
     4500.00000        2.19942        2.48947        0.01062      300.39898       -6.79125      227.36782        8.68104        7.76083       16.44187       14.34196       12.50000       15.30158        5.24360
     5000.00000        2.20203        2.49130        0.01173      302.29207       -6.79215      226.89634        8.70046        7.77819       16.47866       14.22409       12.50000       15.32887        5.27338
     5500.00000        2.20471        2.49324        0.01281      304.12906       -6.79298      226.47027        8.71923        7.79497       16.51420       14.11757       12.50000       15.35519        5.30193
     6000.00000        2.20745        2.49530        0.01387      305.91359       -6.79377      226.08601        8.73738        7.81120       16.54858       14.02150       12.50000       15.38060        5.32937
     6500.00000        2.21024        2.49746        0.01490      307.64910       -6.79450      225.74027        8.75497        7.82692       16.58188       13.93507       12.50000       15.40516        5.35579
     7000.00000        2.21308        2.49972        0.01591      309.33881       -6.79518      225.43000        8.77202        7.84216       16.61418       13.85750       12.50000       15.42895        5.38128
     7500.00000        2.21596        2.50206        0.01690      310.98576       -6.79583      225.15241        8.78858        7.85697       16.64555       13.78810       12.50000       15.45200        5.40590
