year        tco2         alk     d13Cocn        pCO2     d13Catm     CO3   WeatC   WeatS    TotW    BurC   Degas    Tatm        Tocn
     -950.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -900.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -850.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -800.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -750.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -700.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -650.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -600.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -550.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -500.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -450.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -400.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -350.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -300.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -250.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -200.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -150.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
     -100.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
      -50.00000        2.18057        2.48073        0.00000      272.64361       -7.00000      233.55714        8.38929        7.50000       15.88929       15.88929        7.50000       14.88477        4.88477
        0.00000        2.18057        2.48073        0.00000      274.89361       -6.94271      233.55714        8.38929        7.50000       15.88929       15.88929       15.00000       14.88477        4.88477
       50.00000        2.18062        2.48073        0.00003      276.82611       -6.89586      233.60899        8.41383        7.52194       15.93577       15.90225       15.00000       14.92034        4.88655
      100.00000        2.18070        2.48074        0.00010      278.49472       -6.85748      233.62381        8.43480        7.54069       15.97550       15.90595       15.00000       14.95066        4.88975
      150.00000        2.18081        2.48075        0.00019      279.94403       -6.82600      233.60819        8.45283        7.55681       16.00965       15.90205       15.00000       14.97667        4.89410
      200.00000        2.18095        2.48076        0.00029      281.21115       -6.80014      233.56761        8.46844        7.57076       16.03919       15.89190       15.00000       14.99913        4.89935
      250.00000        2.18111        2.48078        0.00042      282.32689       -6.77889      233.50661        8.48203        7.58291       16.06494       15.87665       15.00000       15.01868        4.90532
      300.00000        2.18129        2.48079        0.00055      283.31687       -6.76142      233.42893        8.49397        7.59358       16.08755       15.85723       15.00000       15.03582        4.91184
      350.00000        2.18149        2.48082        0.00070      284.20234       -6.74706      233.33770        8.50453        7.60303       16.10756       15.83443       15.00000       15.05097        4.91880
      400.00000        2.18170        2.48084        0.00086      285.00094       -6.73525      233.23548        8.51396        7.61146       16.12542       15.80887       15.00000       15.06447        4.92608
      450.00000        2.18192        2.48087        0.00102      285.72733       -6.72555      233.12441        8.52245        7.61904       16.14149       15.78110       15.00000       15.07662        4.93361
      500.00000        2.18215        2.48091        0.00120      286.39365       -6.71759      233.00624        8.53015        7.62593       16.15608       15.75156       15.00000       15.08764        4.94131
      550.00000        2.18239        2.48095        0.00137      287.00997       -6.71107      232.88245        8.53721        7.63224       16.16945       15.72061       15.00000       15.09772        4.94913
      600.00000        2.18264        2.48099        0.00155      287.58464       -6.70573      232.75422        8.54372        7.63807       16.18179       15.68856       15.00000       15.10702        4.95703
      650.00000        2.18290        2.48103        0.00174      288.12461       -6.70137      232.62257        8.54979        7.64349       16.19328       15.65564       15.00000       15.11568        4.96496
      700.00000        2.18316        2.48108        0.00193      288.63560       -6.69782      232.48831        8.55549        7.64858       16.20407       15.62208       15.00000       15.12380        4.97290
      750.00000        2.18342        2.48113        0.00212      289.12238       -6.69494      232.35213        8.56087        7.65339       16.21426       15.58803       15.00000       15.13147        4.98083
      800.00000        2.18369        2.48119        0.00231      289.58889       -6.69261      232.21459        8.56599        7.65797       16.22396       15.55365       15.00000       15.13876        4.98873
      850.00000        2.18396        2.48125        0.00250      290.03841       -6.69074      232.07615        8.57089        7.66235       16.23324       15.51904       15.00000       15.14574        4.99658
      900.00000        2.18424        2.48131        0.00269      290.47365       -6.68926      231.93719        8.57561        7.66657       16.24218       15.48430       15.00000       15.15245        5.00437
      950.00000        2.18452        2.48138        0.00289      290.89685       -6.68808      231.79803        8.58017        7.67065       16.25082       15.44951       15.00000       15.15894        5.01210
     1000.00000        2.18480        2.48145        0.00308      291.30988       -6.68717      231.65892        8.58461        7.67462       16.25922       15.41473       15.00000       15.16524        5.01976
     1500.00000        2.18776        2.48234        0.00505      295.11900       -6.68540      230.30279        8.62482        7.71056       16.33538       15.07570       15.00000       15.22226        5.09194
     2000.00000        2.19092        2.48357        0.00698      298.66199       -6.68780      229.04816        8.66161        7.74346       16.40507       14.76204       15.00000       15.27422        5.15668
     2500.00000        2.19423        2.48510        0.00886      302.07092       -6.69064      227.90326        8.69668        7.77481       16.47150       14.47581       15.00000       15.32357        5.21564
     3000.00000        2.19768        2.48692        0.01070      305.37046       -6.69338      226.86160        8.73037        7.80493       16.53530       14.21540       15.00000       15.37079        5.27023
     3500.00000        2.20126        2.48899        0.01248      308.56899       -6.69593      225.91518        8.76278        7.83391       16.59669       13.97880       15.00000       15.41607        5.32140
     4000.00000        2.20496        2.49130        0.01422      311.67235       -6.69831      225.05633        8.79402        7.86183       16.65584       13.76408       15.00000       15.45956        5.36978
     4500.00000        2.20878        2.49382        0.01592      314.68587       -6.70053      224.27800        8.82414        7.88876       16.71289       13.56950       15.00000       15.50136        5.41579
     5000.00000        2.21269        2.49655        0.01757      317.61467       -6.70260      223.57370        8.85322        7.91476       16.76798       13.39343       15.00000       15.54161        5.45974
     5500.00000        2.21670        2.49946        0.01918      320.46366       -6.70455      222.93749        8.88134        7.93989       16.82123       13.23437       15.00000       15.58040        5.50185
     6000.00000        2.22079        2.50254        0.02075      323.23756       -6.70637      222.36393        8.90855        7.96422       16.87277       13.09098       15.00000       15.61783        5.54231
     6500.00000        2.22495        2.50578        0.02228      325.94091       -6.70808      221.84801        8.93491        7.98779       16.92270       12.96200       15.00000       15.65400        5.58124
     7000.00000        2.22919        2.50915        0.02378      328.57801       -6.70969      221.38514        8.96049        8.01065       16.97114       12.84629       15.00000       15.68899        5.61879
     7500.00000        2.23350        2.51266        0.02524      331.15298       -6.71121      220.97111        8.98532        8.03285       17.01817       12.74278       15.00000       15.72288        5.65504
